id;name;code;user_type_id/id;chart_template_id/id;reconcile
l10n_dz.pcg_6387;Intéressement, primes et avantages liés aux résultats;6387;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6388;Autres charges de personnel;6388;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6412;Taxe d’apprentissage;6412;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6413;Taxe sur la formation professionnelle;6413;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6418;Autres taxes sur les salaires;6418;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6451;Taxe foncière sur les propriétés bâties et non bâties;6451;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6452;Taxes spéciales et droits d'accises;6452;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6453;Taxe sur l’environnement (écotaxe);6453;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6454;Taxes sur les véhicules (Vignettes);6454;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6455;Droits de stationnement parking communal;6455;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6456;Droits d’enregistrement sur actes et marchés;6456;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6457;Droits de timbre;6457;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6458;Autres droits, impôts et taxes divers;6458;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6511;Redevances pour concessions;6511;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6521;Moins value sur cession matériel et outillage;6521;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6522;Moins value sur cession matériel de transport;6522;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6523;Moins value sur cession mobilier et matériel de bureau;6523;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6528;Moins value sur cession autres équipements et matériels;6528;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_653;Jetons de présence;653;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6541;Pertes sur créances de l'exercice;6541;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6542;Pertes sur créances des exercices antérieurs;6542;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6551;Quote-part de bénéfice transférée (comptabilité du gérant);6551;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6552;Quote-part de perte supportée (comptabilité des associés non gérants);6552;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6562;Amendes et pénalités (pénales, fiscales et parafiscales);6562;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6563;Subventions accordées;6563;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
